feedback_text,faculty_name,course_type,year,semester
The professor explained complex concepts very clearly. Great course!,Faculty_1,T,2,3
Assignments were too difficult and grading was unfair.,Faculty_2,P,3,4
Excellent hands-on lab sessions. Learned a lot about programming!,Faculty_1,P,2,3
The course structure was well organized. Weekly deadlines were reasonable.,Faculty_3,T,1,2
Professor was very approachable and provided helpful feedback on assignments.,Faculty_2,T,4,1
Too much workload. Couldn't keep up with all assignments.,Faculty_1,J,4,2
Great teaching methodology with real-world examples. Very engaging lectures!,Faculty_3,T,2,3
Lab equipment was outdated and frequently malfunctioning.,Faculty_2,P,3,4
The course material was very useful for my career.,Faculty_1,T,3,1
Mentoring sessions were helpful. Got clarity on many topics.,Faculty_3,T,1,2
Poor communication from faculty about assignment deadlines.,Faculty_2,T,2,3
The practical sessions were well-designed and relevant to industry.,Faculty_1,P,3,4
Course content was too theoretical without practical applications.,Faculty_3,T,4,1
Grading criteria was transparent and fair.,Faculty_2,T,1,2
The professor lacks enthusiasm and doesn't engage students.,Faculty_1,T,2,3
